userId,movieId,rating,timestamp,user_idx,movie_idx
429,227,3.0,1996-03-29 18:36:55,0,0
429,432,3.0,1996-03-29 18:36:55,0,19
429,592,5.0,1996-03-29 18:36:55,0,17
429,590,5.0,1996-03-29 18:36:55,0,16
429,588,5.0,1996-03-29 18:36:55,0,15
429,222,4.0,1996-03-29 18:36:55,0,14
429,468,3.0,1996-03-29 18:36:55,0,13
429,434,4.0,1996-03-29 18:36:55,0,12
429,22,4.0,1996-03-29 18:36:55,0,11
429,420,2.0,1996-03-29 18:36:55,0,10
429,595,5.0,1996-03-29 18:36:55,0,18
429,150,5.0,1996-03-29 18:36:55,0,8
429,218,4.0,1996-03-29 18:36:55,0,7
429,225,4.0,1996-03-29 18:36:55,0,6
429,161,5.0,1996-03-29 18:36:55,0,5
429,351,4.0,1996-03-29 18:36:55,0,4
429,165,4.0,1996-03-29 18:36:55,0,3
429,349,3.0,1996-03-29 18:36:55,0,2
429,343,3.0,1996-03-29 18:36:55,0,1
429,421,4.0,1996-03-29 18:36:55,0,9
429,292,5.0,1996-03-29 18:36:56,0,39
429,252,5.0,1996-03-29 18:36:56,0,40
429,237,4.0,1996-03-29 18:36:56,0,41
429,48,4.0,1996-03-29 18:36:56,0,42
429,60,4.0,1996-03-29 18:36:56,0,43
429,151,4.0,1996-03-29 18:36:56,0,44
429,168,5.0,1996-03-29 18:36:56,0,45
429,204,4.0,1996-03-29 18:36:56,0,50
429,185,5.0,1996-03-29 18:36:56,0,47
429,186,4.0,1996-03-29 18:36:56,0,48
429,195,4.0,1996-03-29 18:36:56,0,49
429,207,5.0,1996-03-29 18:36:56,0,51
429,208,3.0,1996-03-29 18:36:56,0,52
429,234,2.0,1996-03-29 18:36:56,0,53
429,553,3.0,1996-03-29 18:36:56,0,38
429,169,3.0,1996-03-29 18:36:56,0,46
429,381,4.0,1996-03-29 18:36:56,0,37
429,257,4.0,1996-03-29 18:36:56,0,27
429,256,4.0,1996-03-29 18:36:56,0,35
429,282,4.0,1996-03-29 18:36:56,0,20
429,289,5.0,1996-03-29 18:36:56,0,21
429,281,4.0,1996-03-29 18:36:56,0,22
429,339,5.0,1996-03-29 18:36:56,0,23
429,274,4.0,1996-03-29 18:36:56,0,24
107,140,4.0,1996-04-12 15:19:00,1,56
107,141,5.0,1996-04-12 15:19:00,1,57
107,2,5.0,1996-04-12 15:19:00,1,58
107,5,4.0,1996-04-12 15:19:00,1,59
107,11,5.0,1996-04-12 15:19:00,1,60
107,62,5.0,1996-04-12 15:19:00,1,61
107,104,3.0,1996-04-12 15:19:00,1,62
107,105,4.0,1996-04-12 15:19:00,1,63
107,1,4.0,1996-04-12 15:19:00,1,64
107,150,5.0,1996-05-13 16:06:49,1,8
107,590,5.0,1996-05-13 16:06:49,1,16
107,380,4.0,1996-05-13 16:06:49,1,36
107,296,3.0,1996-05-13 16:06:49,1,117
107,318,5.0,1996-05-13 16:07:24,1,120
107,153,3.0,1996-05-13 16:07:24,1,101
107,349,4.0,1996-05-13 16:07:24,1,2
107,344,3.0,1996-05-13 16:07:24,1,130
107,329,3.0,1996-05-13 16:07:58,1,30
107,316,3.0,1996-05-13 16:07:58,1,33
107,165,3.0,1996-05-13 16:07:58,1,3
107,434,3.0,1996-05-13 16:08:20,1,12
107,253,4.0,1996-05-13 16:08:20,1,137
107,161,4.0,1996-05-13 16:08:20,1,5
107,231,3.0,1996-05-13 16:08:21,1,132
107,292,4.0,1996-05-13 16:09:14,1,39
107,185,4.0,1996-05-13 16:09:14,1,47
107,208,3.0,1996-05-13 16:09:15,1,52
191,17,5.0,1996-04-17 16:50:09,2,65
191,32,5.0,1996-04-17 16:50:09,2,80
191,494,3.0,1996-04-17 16:50:09,2,79
191,85,5.0,1996-04-17 16:50:09,2,77
191,36,5.0,1996-04-17 16:50:09,2,76
191,58,4.0,1996-04-17 16:50:09,2,75
191,52,5.0,1996-04-17 16:50:09,2,74
191,21,4.0,1996-04-17 16:50:09,2,73
191,25,5.0,1996-04-17 16:50:09,2,72
191,94,4.0,1996-04-17 16:50:09,2,78
191,720,5.0,1996-04-17 16:50:09,2,70
191,140,3.0,1996-04-17 16:50:09,2,56
191,608,5.0,1996-04-17 16:50:09,2,69
191,111,5.0,1996-04-17 16:50:09,2,68
191,1,4.0,1996-04-17 16:50:09,2,64
191,6,4.0,1996-04-17 16:50:09,2,67
191,16,4.0,1996-04-17 16:50:09,2,66
191,95,3.0,1996-04-17 16:50:09,2,71
191,110,3.0,1996-04-17 17:08:17,2,94
191,175,5.0,1996-04-17 17:08:17,2,95
191,162,5.0,1996-04-17 17:08:17,2,96
191,160,1.0,1996-04-17 17:08:17,2,97
191,159,1.0,1996-04-17 17:08:17,2,98
